,code1,code2,code3,code4,Shire,Suburb,Aboriginal.and.or.Torres.Strait.Islander,Non.Indigenous,Total.ERP
418,,NA,NA,1507,,Green Valley - Cecil Hills,312,29846,30158
419,,NA,NA,1508,,Hoxton Park - Horningsea Park,235,19098,19333
423,,NA,NA,1509,,Bonnyrigg Heights - Bonnyrigg,176,15767,15943
424,,NA,NA,1510,,Bossley Park - Abbotsbury,103,19074,19177
425,,NA,NA,1511,,Cabramatta - Lansvale,136,24469,24605
426,,NA,NA,1512,,Cabramatta West - Mount Pritchard,273,16211,16484
427,,NA,NA,1513,,Canley Vale - Canley Heights,157,20276,20433
428,,NA,NA,1514,,Edensor Park,56,9908,9964
429,,NA,NA,1515,,Fairfield,124,17538,17662
430,,NA,NA,1516,,Fairfield - West,142,18004,18146
431,,NA,NA,1517,,Greenfield Park - Prairiewood,40,8064,8104
432,,NA,NA,1518,,Horsley Park - Kemps Creek,40,4520,4560
433,,NA,NA,1519,,Smithfield - Wetherill Park,208,17490,17698
434,,NA,NA,1520,,St Johns Park - Wakeley,43,11114,11157
435,,NA,NA,1521,,Wetherill Park Industrial,0,27,27
439,,NA,NA,1522,,Casula,180,15131,15311
440,,NA,NA,1523,,Chipping Norton - Moorebank,154,16055,16209
441,,NA,NA,1524,,Holsworthy - Wattle Grove,382,20026,20408
442,,NA,NA,1525,,Liverpool - Warwick Farm,436,29960,30396
443,,NA,NA,1526,,Prestons - Lurnea,541,26234,26775
450,,NA,NA,1527,,Caringbah - Lilli Pilli,225,26590,26815
451,,NA,NA,1528,,Cronulla - Kurnell - Bundeena,341,30559,30900
452,,NA,NA,1529,,Gymea - Grays Point,123,17352,17475
453,,NA,NA,1530,,Miranda - Yowie Bay,187,18242,18429
454,,NA,NA,1531,,Sylvania - Taren Point,162,15727,15889
458,,NA,NA,1532,,Engadine - Loftus,296,28436,28732
459,,NA,NA,1533,,Heathcote - Waterfall,np,np,6684
460,,NA,NA,1534,,Illawong - Alfords Point,63,11169,11232
461,,NA,NA,1535,,Menai - Lucas Heights - Woronora,192,21628,21820
462,,NA,NA,1536,,Oyster Bay - Como - Jannali,161,21323,21484
463,,NA,NA,1537,,Royal National Park,np,np,18
464,,NA,NA,1538,,Sutherland - Kirrawee,286,19873,20159
476,,NA,NA,1001,,Goulburn,788,21414,22202
477,,NA,NA,1002,,Goulburn Region,253,11703,11956
478,,NA,NA,1003,,Yass,241,6308,6549
479,,NA,NA,1004,,Yass Region,139,10701,10840
480,,NA,NA,1005,,Young,402,10203,10605
481,,NA,NA,1006,,Young Region,297,7326,7623
485,,NA,NA,1007,,Braidwood,52,3406,3458
486,,NA,NA,1008,,Karabar,548,8544,9092
487,,NA,NA,1009,,Queanbeyan,324,10391,10715
488,,NA,NA,1010,,Queanbeyan - East,160,4791,4951
489,,NA,NA,1011,,Queanbeyan Region,273,14339,14612
490,,NA,NA,1012,,Queanbeyan West - Jerrabomberra,335,12888,13223
494,,NA,NA,1013,,Bombala,56,2428,2484
495,,NA,NA,1014,,Cooma,256,6679,6935
496,,NA,NA,1015,,Cooma Region,63,3208,3271
497,,NA,NA,1016,,Jindabyne - Berridale,94,6811,6905
501,,NA,NA,1017,,Batemans Bay,529,7243,7772
502,,NA,NA,1018,,Batemans Bay - South,367,8213,8580
503,,NA,NA,1019,,Bega - Tathra,333,8020,8353
504,,NA,NA,1020,,Bega-Eden Hinterland,224,8849,9073
505,,NA,NA,1021,,Broulee - Tomakin,94,2806,2900
506,,NA,NA,1022,,Deua - Wadbilliga,0,61,61
507,,NA,NA,1023,,Eden,277,3044,3321
508,,NA,NA,1024,,Eurobodalla Hinterland,291,3037,3328
509,,NA,NA,1025,,Merimbula - Tura Beach,190,9962,10152
510,,NA,NA,1026,,Moruya - Tuross Head,488,7397,7885
511,,NA,NA,1027,,Narooma - Bermagui,506,8476,8982
518,,NA,NA,1058,,Bathurst,1204,22730,23934
519,,NA,NA,1059,,Bathurst - East,606,9214,9820
520,,NA,NA,1060,,Bathurst Region,194,6617,6811
521,,NA,NA,1061,,Oberon,169,4442,4611
525,,NA,NA,1062,,Condobolin,1286,5852,7138
526,,NA,NA,1063,,Cowra,857,8344,9201
527,,NA,NA,1064,,Cowra Region,182,5336,5518
528,,NA,NA,1065,,Forbes,1080,9051,10131
529,,NA,NA,1066,,Grenfell,83,3657,3740
530,,NA,NA,1067,,Parkes (NSW),981,10337,11318
531,,NA,NA,1068,,Parkes Region,461,3034,3495
532,,NA,NA,1069,,West Wyalong,275,5729,6004
536,,NA,NA,1070,,Lithgow,699,11987,12686
537,,NA,NA,1071,,Lithgow Region,391,7766,8157
538,,NA,NA,1072,,Mudgee,542,10290,10832
539,,NA,NA,1073,,Mudgee Region - East,142,3313,3455
540,,NA,NA,1074,,Mudgee Region - West,484,9746,10230
541,,NA,NA,1075,,Wollangambe - Wollemi,.,.,.
545,,NA,NA,1076,,Blayney,249,6990,7239
546,,NA,NA,1077,,Orange,1432,18943,20375
547,,NA,NA,1078,,Orange - North,974,16436,17410
548,,NA,NA,1079,,Orange Region,387,10907,11294
555,,NA,NA,1080,,Grafton,1726,17325,19051
556,,NA,NA,1081,,Grafton Region,843,14588,15431
557,,NA,NA,1082,,Maclean - Yamba - Iluka,825,15540,16365
561,,NA,NA,1083,,Bellingen,182,5712,5894
562,,NA,NA,1084,,Coffs Harbour - North,973,16012,16985
563,,NA,NA,1085,,Coffs Harbour - South,443,9763,10206
564,,NA,NA,1086,,Coramba - Nana Glen - Bucca,129,3552,3681
565,,NA,NA,1087,,Dorrigo,154,3211,3365
566,,NA,NA,1088,,Korora - Emerald Beach,165,7854,8019
567,,NA,NA,1089,,Sawtell - Boambee,1031,18654,19685
568,,NA,NA,1090,,Urunga,182,4524,4706
569,,NA,NA,1091,,Woolgoolga - Arrawarra,610,11184,11794
576,,NA,NA,1092,,Bourke - Brewarrina,2158,2393,4551
577,,NA,NA,1093,,Cobar,743,4147,4890
578,,NA,NA,1094,,Coonamble,1462,2999,4461
579,,NA,NA,1095,,Nyngan - Warren,938,4468,5406
580,,NA,NA,1096,,Walgett - Lightning Ridge,2502,4688,7190
584,,NA,NA,1097,,Broken Hill,1705,17446,19151
585,,NA,NA,1098,,Far West,936,1850,2786
589,,NA,NA,1099,,Coonabarabran,979,7465,8444
590,,NA,NA,1100,,Dubbo - East,2135,9155,11290
591,,NA,NA,1101,,Dubbo - South,1936,14361,16297
592,,NA,NA,1102,,Dubbo - West,1618,6076,7694
593,,NA,NA,1103,,Dubbo Region,295,5035,5330
594,,NA,NA,1104,,Gilgandra,639,3968,4607
595,,NA,NA,1105,,Narromine,1551,5374,6925
596,,NA,NA,1106,,Wellington,2078,6891,8969
603,,NA,NA,1107,,Branxton - Greta - Pokolbin,392,9210,9602
604,,NA,NA,1108,,Cessnock,1243,19653,20896
605,,NA,NA,1109,,Cessnock Region,306,6934,7240
606,,NA,NA,1110,,Dungog,317,8239,8556
607,,NA,NA,1111,,Kurri Kurri - Abermain,1046,15695,16741
608,,NA,NA,1112,,Singleton,814,15916,16730
609,,NA,NA,1113,,Singleton Region,150,4777,4927
613,,NA,NA,1114,,Maitland,220,4716,4936
614,,NA,NA,1115,,Maitland - East,1020,25804,26824
615,,NA,NA,1116,,Maitland - North,136,6692,6828
616,,NA,NA,1117,,Maitland - West,928,17986,18914
617,,NA,NA,1118,,Thornton - Millers Forest,236,8802,9038
621,,NA,NA,1119,,Anna Bay,150,5524,5674
622,,NA,NA,1120,,Lemon Tree Passage - Tanilba Bay,284,6284,6568
623,,NA,NA,1121,,Nelson Bay Peninsula,472,19970,20442
624,,NA,NA,1122,,Raymond Terrace,1025,13145,14170
625,,NA,NA,1123,,Seaham - Woodville,164,5295,5459
626,,NA,NA,1124,,Tea Gardens - Hawks Nest,184,4502,4686
627,,NA,NA,1125,,Williamtown - Medowie - Karuah,640,12400,13040
631,,NA,NA,1126,,Muswellbrook,869,11353,12222
632,,NA,NA,1127,,Muswellbrook Region,163,3943,4106
633,,NA,NA,1128,,Scone,236,5860,6096
634,,NA,NA,1129,,Scone Region,408,7702,8110
641,,NA,NA,1130,,Berkeley - Warrawong - Windang,1190,26820,28010
642,,NA,NA,1131,,Dapto - Avondale,880,22524,23404
643,,NA,NA,1132,,Horsley - Kembla Grange,np,np,7758
644,,NA,NA,1133,,Port Kembla Industrial,np,np,32
645,,NA,NA,1134,,Unanderra - Mount Kembla,340,15786,16126
649,,NA,NA,1135,,Illawarra Catchment Reserve,0,13,13
653,,NA,NA,1136,,Albion Park - Macquarie Pass,320,13739,14059
654,,NA,NA,1137,,Albion Park Rail,340,6896,7236
655,,NA,NA,1138,,Kiama,76,7373,7449
656,,NA,NA,1139,,Kiama Downs - Minnamurra,104,5874,5978
657,,NA,NA,1140,,Kiama Hinterland - Gerringong,159,7155,7314
658,,NA,NA,1141,,Shellharbour - Flinders,319,13723,14042
659,,NA,NA,1142,,Shellharbour - Oak Flats,278,9686,9964
660,,NA,NA,1143,,Warilla,1056,19861,20917
664,,NA,NA,1144,,Balgownie - Fairy Meadow,372,20669,21041
665,,NA,NA,1145,,Corrimal - Tarrawanna - Bellambi,610,15191,15801
666,,NA,NA,1146,,Figtree - Keiraville,287,20677,20964
667,,NA,NA,1147,,Helensburgh,159,8618,8777
668,,NA,NA,1148,,Thirroul - Austinmer - Coalcliff,153,11012,11165
669,,NA,NA,1149,,Wollongong,504,29210,29714
670,,NA,NA,1150,,Woonona - Bulli - Russell Vale,453,18810,19263
677,,NA,NA,1151,,Bulahdelah - Stroud,211,4649,4860
678,,NA,NA,1152,,Forster,695,13570,14265
679,,NA,NA,1153,,Forster-Tuncurry Region,274,5560,5834
680,,NA,NA,1154,,Tuncurry,234,5774,6008
684,,NA,NA,1155,,Kempsey,2758,12038,14796
685,,NA,NA,1156,,Kempsey Region,652,8606,9258
686,,NA,NA,1157,,Macksville - Scotts Head,351,4440,4791
687,,NA,NA,1158,,Nambucca Heads,735,6144,6879
688,,NA,NA,1159,,Nambucca Heads Region,531,7034,7565
689,,NA,NA,1160,,South West Rocks,321,4808,5129
693,,NA,NA,1161,,Lord Howe Island,3,389,392
697,,NA,NA,1162,,Laurieton - Bonny Hills,524,15743,16267
698,,NA,NA,1163,,Port Macquarie - East,807,26985,27792
699,,NA,NA,1164,,Port Macquarie - West,733,14750,15483
700,,NA,NA,1165,,Port Macquarie Region,171,5037,5208
701,,NA,NA,1166,,Wauchope,662,9854,10516
705,,NA,NA,1167,,Gloucester,268,4723,4991
706,,NA,NA,1168,,Old Bar - Manning Point - Red Head,318,9551,9869
707,,NA,NA,1169,,Taree,1955,18886,20841
708,,NA,NA,1170,,Taree Region,466,11414,11880
709,,NA,NA,1171,,Wingham,262,5204,5466
716,,NA,NA,1172,,Albury - East,198,13041,13239
717,,NA,NA,1173,,Albury - North,328,9293,9621
718,,NA,NA,1174,,Albury - South,257,10676,10933
719,,NA,NA,1175,,Albury Region,240,10927,11167
720,,NA,NA,1176,,Lavington,532,13845,14377
724,,NA,NA,1177,,Hay,203,2882,3085
725,,NA,NA,1178,,Wentworth - Buronga,784,5189,5973
726,,NA,NA,1179,,Wentworth-Balranald Region,240,3526,3766
730,,NA,NA,1180,,Corowa,78,5677,5755
731,,NA,NA,1181,,Corowa Region,115,6601,6716
