ABN	Latitude	Longitude	Aged_Care_Activities	Aged_Persons	Aboriginal_or_TSI	People_at_risk_of_homelessness	Charity_Name
11401466956	-30.094386036999595	145.94889409700056					Catholic Parish Of St Benedict Broadway
11408704415	-33.56399029599959	148.66198099700057	Y	Y			Uca - Canowindra
11408712272	-34.189905849999604	150.55600965700057					Thirlmere Public School Parents And Citizens Association
11413518185	-33.78621347699959	150.9356960620006			Y		Krosswerdz Incorporated
11421798464	-33.73952486499962	151.20652334900058		Y	Y		St Stephens Belrose Kindergarten Inc
11424274834	-34.725083928999595	149.72017859800064					Bradfordville P & C Association
11434864088	-30.108865302999618	153.20132409900054		Y	Y		Woolgoolga Surf Life Saving Club Inc.
11435026358	-33.878049618999626	151.10408954500065					The Trustees Of The Hospitaller Order Of St John Of God
11436369036	-33.55640760099959	150.84278234500061					Wilberforce Public School P & C Association
11452411243	-29.11917501299962	153.4279474610006					The Trustee For Mid Richmond Education Fund
11461295878	-33.869599972999595	151.20695930500062					Palmdale Trust
11465017203	-33.6738991509996	151.10217979400056					Hornsby Girls High School P&C Association
11471023261	-33.92297319199963	151.05571771700056		Y			The Korean Buddhist Kwan Um Sa Incorporated
11472476854	-33.6925947999996	150.59828726600063					Springwood Rsl Sub Branch The Returned And Services League Of Australia New South Wales Branch
11473481983	-33.98427912699958	151.08406257600063					Permaculture Sydney South Incorporated
11491151011	-34.186586852999596	150.98647565400063	Y	Y		Y	Catholic Parish Of Holy Cross Helensburgh
11492147062	-32.95256440899959	151.7016937700006					Four Plus Two
11502290864	-33.87867992899959	151.16438020300063					The Wenkart Foundation
11504332761	-33.184060019999606	151.5729904930006			Y		St Brendans Catholic Primary School Lake Munmorah
11506781170	-28.835167834999595	153.4287426690006			Y		Alstonville High School P&C Assn 
11513626906	-33.869599972999595	151.20695930500062					The Trustee For The Frances Elizabeth Thomson Trust
11515367995	-28.59434403299963	153.22236279800063			Y		Nimbin Aquarius Foundation Incorporated
11518781412	-33.42669653399963	151.34675167300054			Y		Pep (Progressive Employment Personnel) Inc
11527784059	-33.35387673699961	149.97868504200062			Y		Blinky Bill Portland Child Care Centre
11541215706	-33.772316931999626	150.77520015800064		Y			Our Lady Of The Rosary Catholic Church St Marys
11546045018	-32.79691763099959	151.66218977700055					Woodberry Public School P&C Association
11546046875	-34.349539093999624	147.21629422200056					Ariah Park Showground Trust
11558346105	-33.97707129499963	151.07327568900064		Y	Y		Uca - Mortdale
11563715017	-33.77752183499962	151.17111844100054				Y	KYDS Youth Development Service Incorporated
11569401714	-33.92835328299958	150.9062077920006					Igreja Evangelica Assembleia De Deus Ministerio Do Belem Inc
11570559592	-34.3716766539996	150.91574262900065					Holy Spirit Parents And Friends Asssociation
11575267069	-33.79326056299959	151.04862115300057					Telopea Korean Congregation of Jehovah's Witnesses
11592509426	-33.87907385699958	151.04302746600058		Y			Love Violin For Children Australia Incorporated
11593129918	-33.87907385699958	151.04302746600058					Kyogle Congregation of Jehovah's Witnesses
11595120337	-30.290709660999596	153.04483972100059		Y	Y	Y	Abundant Life Church Incorporated
11599680696	-33.83320958099961	150.97986946400056					Yasminah's Gift Of Hope
11603517984	-28.513477945999625	152.44309999700056					Buddharatana Monastery Of Australia Inc.
11612680186	-32.24982586599958	148.60582464900062					Dubbo Public School P&C Assoc
11625157923	-33.869599972999595	151.20695930500062					The Trustee For Charles Gellion Bequest
11628846717	-35.3512071439996	150.46928601300056					Ulladulla Residential Services Incorporated
11629077637	-33.8707297939996	150.89243965800063		Y		Y	Holy Apostolic Catholic Assyrian Church Of The East
